iter,clap,score,lead_cutoff_hz,lead_gain,pad_cutoff_slider,pad_gain,hihat_gain,bass_cutoff_g1,reverb_room,reverb_wet,sidechain_depth,gain_kick,gain_bass,gain_pluck,kick_decay_s,kick_pitch_floor,hihat_decay_s
36,0.54698,0.4839,9406.29663,0.33462,0.89053,4.89991,0.15636,0.74971,0.52458,0.4119,0.41398,0.55636,0.45773,0.09948,0.1447,78.12286,0.00523
37,0.49226,0.49226,6787.84616,0.41747,0.85124,3.42015,0.61321,0.7405,0.45314,0.43043,0.69191,0.58191,0.22343,0.0805,0.20309,77.70252,0.07574
38,0.55235,0.55235,3105.04076,0.2939,0.87187,4.79087,1.38638,0.73277,0.65028,0.34009,0.3291,0.79562,0.2141,0.04653,0.16321,48.1364,0.08915
39,0.58888,0.52902,7057.91657,0.2312,0.89908,4.36096,0.16348,0.74394,0.30296,0.4411,0.53897,0.56113,0.21413,0.10752,0.10625,49.83856,0.01918
40,0.58523,0.51494,7422.03432,0.38775,0.80763,4.97406,0.15756,0.56489,0.4506,0.20433,0.47853,0.79886,0.22205,0.04615,0.21738,37.27162,0.06022
41,0.62657,0.56024,8357.91949,0.38813,0.85453,4.92585,0.07385,0.69954,0.64606,0.42941,0.36545,0.76305,0.25521,0.06453,0.25407,50.58467,0.0322
42,0.51845,0.47003,1420.64114,0.32894,0.87526,4.25547,0.27082,0.74826,0.52955,0.45,0.36798,0.71662,0.22847,0.00591,0.10661,66.541,0.08228
43,0.49162,0.49162,7023.83772,0.42122,0.89396,3.16791,1.24792,0.72465,0.28225,0.18916,0.32295,0.708,0.15946,0.01372,0.15444,36.22155,0.05359
44,0.52241,0.45956,10536.14697,0.52138,0.73897,3.88767,0.0539,0.54329,0.3922,0.44366,0.45789,0.78413,0.15156,0.01049,0.10659,51.17797,0.07782
45,0.6072,0.55985,10561.27812,0.28721,0.88312,4.67178,0.25509,0.73186,0.3627,0.43666,0.56977,0.76084,0.26371,0.00743,0.18408,64.99075,0.03252
46,0.52198,0.48493,7474.00692,0.18866,0.79511,4.98425,0.39635,0.64754,0.50918,0.16622,0.49336,0.79935,0.18915,0.21829,0.16385,45.02614,0.09646
47,0.52643,0.52643,5282.62399,0.2567,0.70644,4.66073,1.4068,0.59614,0.54676,0.20878,0.34859,0.39732,0.22398,0.00594,0.15297,55.0201,0.05931
48,0.53697,0.53697,7034.00311,0.26296,0.76172,3.56849,0.75847,0.70866,0.4773,0.3837,0.34904,0.49829,0.33171,0.00938,0.10007,62.30609,0.08242
49,0.43278,0.37883,11753.72096,0.39488,0.84503,4.74314,0.27076,0.59175,0.40315,0.36686,0.30139,0.45687,0.1503,0.1533,0.158,76.35125,0.00598
50,0.54101,0.49178,6499.99469,0.42615,0.78842,4.51253,0.55182,0.7493,0.51095,0.33384,0.42394,0.7312,0.30079,0.15087,0.29026,54.52581,0.03936
51,0.44827,0.43033,9266.92724,0.69541,0.89509,3.5449,0.64944,0.51884,0.45759,0.43052,0.42036,0.77079,0.34902,0.03711,0.39674,70.5959,0.02844
52,0.52542,0.48075,7641.64868,0.28962,0.89701,3.03808,0.47713,0.70362,0.74011,0.34811,0.73109,0.74995,0.28477,0.0365,0.34431,62.08314,0.01914
53,0.53182,0.47842,9097.75567,0.4758,0.89992,4.98837,0.11178,0.58584,0.52104,0.38668,0.36682,0.62485,0.3448,0.03453,0.18094,46.55689,0.05711
54,0.61347,0.58548,8637.66988,0.35751,0.88176,4.81511,1.09364,0.70095,0.38874,0.37071,0.30731,0.61838,0.15002,0.01248,0.31279,55.36135,0.00504
55,0.55409,0.50011,4131.73683,0.38055,0.80473,4.63874,0.41643,0.63727,0.71783,0.36196,0.30817,0.7522,0.15969,0.01639,0.10121,54.12217,0.03738
56,0.55154,0.48429,7064.70625,0.3198,0.84571,4.83882,0.146,0.67693,0.58907,0.36802,0.38308,0.60221,0.31155,0.05028,0.30122,30.00538,0.08308
57,0.58159,0.45479,7877.34818,0.34088,0.59017,4.97603,0.26836,0.55054,0.47255,0.34327,0.30826,0.79226,0.38036,0.01468,0.31482,55.27844,0.03599
58,0.58992,0.58992,7206.7892,0.31032,0.83997,4.32301,0.86118,0.71169,0.49322,0.3125,0.56418,0.63459,0.1909,0.04393,0.39883,63.41554,0.04078
59,0.46086,0.45917,5138.17492,0.45607,0.8999,4.95817,0.94845,0.74375,0.36152,0.36865,0.30023,0.49881,0.24071,0.22622,0.10013,51.20501,0.04557
60,0.51741,0.51741,6542.66679,0.13214,0.85788,4.89049,1.22604,0.74949,0.61715,0.33006,0.43942,0.6753,0.16408,0.08706,0.3459,40.33398,0.04091
61,0.62017,0.53959,10187.13927,0.22093,0.82215,4.40716,0.10614,0.74858,0.51472,0.44957,0.68553,0.7565,0.15575,0.14163,0.2747,38.96838,0.00641
62,0.57213,0.57213,7373.79433,0.25444,0.88543,4.64265,0.98594,0.67877,0.6671,0.42497,0.41262,0.75894,0.18596,0.05167,0.25067,42.62418,0.03097
63,0.53807,0.49772,5730.7874,0.33245,0.89774,4.17384,0.29848,0.59754,0.20226,0.33041,0.32289,0.61889,0.15542,0.01196,0.26255,53.54333,0.06407
64,0.52507,0.48785,5828.605,0.32148,0.88944,3.14514,0.68769,0.74378,0.25988,0.42757,0.32366,0.66846,0.15018,0.00539,0.12647,30.39993,0.00569
65,0.51915,0.51915,4712.82044,0.10654,0.89913,4.71864,1.1358,0.56823,0.21964,0.3018,0.76845,0.52893,0.21833,0.10571,0.30849,44.8658,0.06932
66,0.55948,0.54972,4033.2274,0.38693,0.88421,4.42406,1.4992,0.70301,0.53439,0.32494,0.46736,0.68722,0.33897,0.09831,0.27603,43.35844,0.01086
67,0.53833,0.49091,6285.30846,0.58589,0.82601,4.88926,0.48842,0.74404,0.66588,0.36699,0.55978,0.78805,0.22415,0.03948,0.39999,61.44316,0.04029
68,0.60618,0.55227,7230.44279,0.20376,0.85798,3.38146,0.38917,0.70199,0.71482,0.34814,0.46251,0.60446,0.16383,0.00564,0.38119,43.09847,0.00981
69,0.60943,0.56549,5058.45363,0.29438,0.80219,4.96565,1.3563,0.6458,0.64227,0.43766,0.45379,0.74195,0.2881,0.05137,0.35713,56.26191,0.00504
70,0.47424,0.47424,7663.44522,0.3009,0.89939,4.95657,2.09271,0.60925,0.49205,0.31133,0.48225,0.53651,0.15028,0.15587,0.28348,53.90001,0.0706
71,0.5098,0.5098,9645.49003,0.21544,0.89995,3.29102,1.29949,0.58004,0.383,0.2346,0.64368,0.79968,0.35838,0.01007,0.41454,51.17542,0.03327
72,0.43359,0.39119,9654.63056,0.15963,0.75384,2.75596,0.55067,0.71269,0.32395,0.44701,0.86313,0.77863,0.16535,0.11948,0.2571,67.56885,0.02098
73,0.40628,0.33032,6849.67142,0.61573,0.79985,4.64472,0.05364,0.61892,0.49212,0.44977,0.46618,0.44244,0.304,0.07098,0.37296,39.14085,0.05384
